INFO:
84   0.42           0.392375       0.0881251      
85   0.425          0.418475       0.0868058      
86   0.43           0.444049       0.0855291      
87   0.435          0.46911        0.0842928      
88   0.44           0.493675       0.083095       
89   0.445          0.517754       0.0819339      
90   0.45           0.541363       0.0808077      
91   0.455          0.564512       0.0797148      
92   0.46           0.587215       0.0786536      
93   0.465          0.609482       0.0776227      
94   0.47           0.631327       0.0766208      
95   0.475          0.652758       0.0756466      
96   0.48           0.673788       0.0746989      
97   0.485          0.694427       0.0737766      
98   0.49           0.714685       0.0728787      
99   0.495          0.734571       0.0720041      

INFO:
0    0              -10.2205       9.43618        
1    0.005          -9.61774       8.23183        
2    0.01           -9.07473       7.18126        
3    0.015          -8.58195       6.28504        
4    0.02           -8.13158       5.52519        
5    0.025          -7.71727       4.88023        
6    0.03           -7.33386       4.3306         
7    0.035          -6.97717       3.85991        
8    0.04           -6.6438        3.45483        
9    0.045          -6.33094       3.10459        
10   0.05           -6.03627       2.80044        
11   0.055          -5.75786       2.53525        
12   0.06           -5.49407       2.30314        
13   0.065          -5.24352       2.09925        
14   0.07           -5.00502       1.9195         
15   0.075          -4.77753       1.76049        
16   0.08           -4.56017       1.61934        
17   0.085          -4.35213       1.49364        
18   0.09           -4.15272       1.38131        
19   0.095          -3.96132       1.28062        
20   0.1            -3.77737       1.19006        
21   0.105          -3.60037       1.10837        
22   0.11           -3.42985       1.03446        
23   0.115          -3.26542       0.96739        
24   0.12           -3.1067        0.906368       
25   0.125          -2.95335       0.850701       
26   0.13           -2.80506       0.799793       
27   0.135          -2.66155       0.753129       
28   0.14           -2.52256       0.710261       
29   0.145          -2.38785       0.670799       
30   0.15           -2.25721       0.634401       
31   0.155          -2.13044       0.600768       
32   0.16           -2.00735       0.569636       
33   0.165          -1.88778       0.540772       
34   0.17           -1.77157       0.51397        
35   0.175          -1.65858       0.489045       
36   0.18           -1.54867       0.465834       
37   0.185          -1.44172       0.444191       
38   0.19           -1.33761       0.423983       
39   0.195          -1.23624       0.405092       
40   0.2            -1.1375        0.387411       
41   0.205          -1.0413        0.370845       
42   0.21           -0.947556      0.355307       
43   0.215          -0.856176      0.340716       
44   0.22           -0.767084      0.327001       
45   0.225          -0.680206      0.314098       
46   0.23           -0.59547       0.301946       
47   0.235          -0.512809      0.290492       
48   0.24           -0.432159      0.279685       
49   0.245          -0.35346       0.269482       
50   0.25           -0.276653      0.25984        
51   0.255          -0.201682      0.250721       
52   0.26           -0.128495      0.242091       
